#RA Dec weight
351.5162429222 0.1841549509 0.4747912884
351.4023987404 -0.0301381540 0.5446680188
352.0645584550 0.2309894172 0.8329055309
352.0112836835 -0.0004432817 0.5514850616
351.7528682573 0.3690471691 0.0864000469
351.8343317310 0.0520983751 0.4026317894
351.4031516450 0.0680709018 0.1104786918
352.0511563979 0.2596997625 0.8329055309
351.8101830887 0.0883211770 0.4401371777
351.8467833428 0.3279331517 0.8618465066
351.4372183786 0.0423159533 0.6869951487
351.7800577458 0.1266606805 0.3470835984
351.6617296478 0.1300536596 0.3984375298
351.8072561772 -0.0779842903 0.4096723199
351.7282964182 -0.0864599877 0.4401371777
351.6323959463 0.0807140883 0.5002660751
351.9286378495 0.1443226903 0.5387670398
351.5465163566 0.0561731122 0.4759998620
351.6540989984 0.0029081253 0.5539177060
351.6939022748 0.1700830641 0.4887968004
351.6722616960 0.3273999497 0.3923078477
351.7997984439 0.1144916717 0.5283372402
351.9211156334 0.0112734209 0.5152376890
351.8058600211 0.0649524644 0.5424529910
351.4112045893 0.1610808420 0.5763229728
351.4589324728 0.3309417483 0.4309857488
352.0318850308 0.2069706957 0.9406370521
351.8796783631 0.1237980701 0.5067367554
351.9745935031 0.3538745176 0.5274661779
351.9737306829 0.2883735407 0.4213044047
352.0058356777 -0.0835133245 0.2234567106
351.3760749260 0.2909994907 0.4420001805
351.6660429613 0.2750064029 0.4909251034
351.8398529778 -0.0732111811 0.4969426990
351.7167447076 0.1316072292 0.5258114934
351.7808074355 0.3309235227 0.5271410942
351.5836216473 0.2724903407 0.5388002992
352.0257715558 0.3258395461 0.5193326473
351.4069976844 0.0277512375 0.7605183125
351.9099601363 0.2412425254 0.5420898199
351.7467295728 0.0000808774 0.5283372402
351.9132472424 0.0418617791 0.3928377330
351.4884177613 -0.0403879854 0.4759998620
